Date,Open,High,Low,Close,Adj Close,Volume
2017-11-21,4.996710,4.996710,4.996710,4.996710,4.996710,0
2017-11-22,5.002800,5.002800,5.002800,5.002800,5.002800,0
2017-11-23,5.016250,5.016250,5.016250,5.016250,5.016250,0
2017-11-24,5.032500,5.032500,5.010000,5.008750,5.008750,4003
2017-11-27,5.011250,5.011250,5.011250,5.011250,5.011250,0
2017-11-28,5.007500,5.007500,5.007500,5.007500,5.007500,0
2017-11-29,5.010000,5.010000,5.010000,5.000000,5.000000,9602
2017-11-30,5.005000,5.005000,5.005000,5.000000,5.000000,4000
2017-12-01,5.010000,5.015000,5.010000,5.016250,5.016250,16000
2017-12-04,5.000000,5.000000,5.000000,5.005000,5.005000,2000
2017-12-05,5.010000,5.010000,5.010000,5.010000,5.010000,0
2017-12-06,5.020000,5.020000,5.020000,5.015000,5.015000,2000
2017-12-07,5.010000,5.025000,5.010000,5.020000,5.020000,98000
2017-12-08,5.015000,5.015000,5.015000,5.010000,5.010000,15000
2017-12-11,5.020000,5.020000,5.020000,5.015000,5.015000,2000
2017-12-12,5.010000,5.010000,5.010000,5.005000,5.005000,750
2017-12-13,5.005000,5.005000,5.005000,5.005000,5.005000,0
2017-12-14,5.005000,5.005000,5.005000,5.005000,5.005000,0
2017-12-15,5.005000,5.005000,5.005000,5.005000,5.005000,0
2017-12-18,5.005000,5.005000,5.005000,5.005000,5.005000,0
2017-12-19,5.005000,5.005000,5.005000,5.005000,5.005000,0
2017-12-20,5.007100,5.007100,5.007100,4.995500,4.995500,2916
2017-12-21,5.000000,5.000000,5.000000,4.996750,4.996750,2000
2017-12-22,4.999000,4.999000,4.999000,4.995000,4.995000,2100
2017-12-27,4.946000,5.010000,4.946000,5.005000,5.005000,5980
2017-12-28,5.000000,5.000000,5.000000,5.005000,5.005000,2799
2017-12-29,5.015000,5.015000,5.015000,5.008750,5.008750,157
2018-01-02,5.000000,5.000000,5.000000,4.997000,4.997000,2547
2018-01-03,5.000000,5.000000,4.998000,5.003750,5.003750,8000
2018-01-04,5.003750,5.003750,5.003750,5.003750,5.003750,0
2018-01-05,5.005000,5.005000,5.005000,5.001000,5.001000,1230
2018-01-08,4.997500,4.997500,4.997500,5.002000,5.002000,1000
2018-01-09,5.002500,5.002500,4.997000,4.997500,4.997500,166502
2018-01-10,5.010000,5.010000,4.993000,4.991000,4.991000,7635
2018-01-11,4.994000,4.997000,4.985000,4.985000,4.985000,74022
2018-01-12,4.992000,4.993000,4.984000,4.985000,4.985000,136228
2018-01-15,4.995000,4.995000,4.995000,4.993500,4.993500,4000
2018-01-16,4.994000,4.994000,4.994000,4.993000,4.993000,2586
2018-01-17,4.988000,4.993000,4.988000,4.992000,4.992000,6577
2018-01-18,4.996000,4.996000,4.989000,4.983000,4.983000,114661
2018-01-19,4.983000,4.983000,4.983000,4.983000,4.983000,0
2018-01-22,4.983700,4.983700,4.983700,4.985000,4.985000,7273
2018-01-23,4.987000,4.987000,4.987000,4.988000,4.988000,2715
2018-01-24,4.988000,4.988000,4.988000,4.988000,4.988000,0
2018-01-25,4.975000,4.977000,4.975000,4.976000,4.976000,4000
2018-01-26,4.976000,4.976000,4.976000,4.976000,4.976000,0
2018-01-29,4.976000,4.976000,4.968000,4.967000,4.967000,15508
2018-01-30,4.967000,4.967000,4.967000,4.967000,4.967000,0
2018-01-31,4.975000,4.975000,4.967000,4.968000,4.968000,8000
2018-02-01,4.966000,4.966000,4.966000,4.970000,4.970000,2000
2018-02-02,4.960000,4.962000,4.952000,4.954000,4.954000,13839
2018-02-05,4.950000,4.950000,4.950000,4.951500,4.951500,2000
2018-02-06,4.959000,4.959000,4.959000,4.958500,4.958500,2000
2018-02-07,4.964300,4.964300,4.964300,4.958000,4.958000,12561
2018-02-08,4.957000,4.957000,4.949000,4.950000,4.950000,3249
